acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q3132140,HENRI VERDUN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE LEVY DEPARTMENT STORES,36
81824,ERIC MERTON,Q3591245,ERIC LIPMANN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],"THE 11,000 SEXES",20
81824,ERIC MERTON,Q1596657,MARION GERING,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LADIES OF THE BIG HOUSE,37
81824,ERIC MERTON,Q3314533,MILTON KRIMS,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE GREAT O'MALLEY,33
81824,ERIC MERTON,Q92072,ERICH PONTO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE HOUND OF THE BASKERVILLES,37
81824,ERIC MERTON,Q4261959,ERIC LINDEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ARE THESE OUR CHILDREN?,38
81824,ERIC MERTON,Q230958,MERLE OBERON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],24 HOURS OF A WOMAN'S LIFE,34
81824,ERIC MERTON,Q443585,CESAR ROMERO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SPIDER-MAN - ONCE UPON A TIME THE SUPER HEROES,41
81824,ERIC MERTON,Q4003436,UMBERTO MELNATI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LA SEGRETARIA PER TUTTI,35
81824,ERIC MERTON,Q3324603,MORTON LOWRY,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE HOUR BEFORE THE DAWN,39
81824,ERIC MERTON,Q7372772,ROY EMERTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE TRIUMPH OF SHERLOCK HOLMES,29
81824,ERIC MERTON,Q6078311,ERIC ROOS,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q10483496,0
81824,ERIC MERTON,Q19285263,HEINZ LETTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],CRIME REPORTER HOLM,30
81824,ERIC MERTON,Q1351332,ERIC HELGAR,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE CHAMPION OF PONTRESINA,34
81824,ERIC MERTON,Q6776000,MARTIN LEWIS,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DANGEROUS GROUND,24
81824,ERIC MERTON,Q2893619,BEDRICH FEUERSTEIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],FAITHLESS MARIJKA,22
81824,ERIC MERTON,Q1353606,ERICH VON NEUSSER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE CONGRESS DANCES,28
81824,ERIC MERTON,Q5371367,EMIL MARTONFFY,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DUEL FOR NOTHING,24
81824,ERIC MERTON,Q1352943,ERICH PALME,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE WORLD WITHOUT A MASK,29
81824,ERIC MERTON,Q18638543,JOHN MERTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE RANGERS STEP IN,32
81824,ERIC MERTON,Q13502200,ENRICO VERDOZZI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MAKE BELIEVE PIRATES,39
81824,ERIC MERTON,Q3246622,ROBERT BERRI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],CES DAMES PREFERENT LE MAMBO,37
81824,ERIC MERTON,Q3056408,ERIC SPEAR,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MEN AGAINST THE SUN,32
81824,ERIC MERTON,Q1351564,ERIC PORTMAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE PRINCE AND THE PAUPER,38
81824,ERIC MERTON,Q1352452,ERICH HOLDER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BETWEEN HEAVEN AND EARTH,35
81824,ERIC MERTON,Q6948472,MYRON MCCORMICK,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE FIGHT FOR LIFE,30
81824,ERIC MERTON,Q1352602,ERICH KOBLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],AFTER THE RAIN COMES SUNSHINE,37
81824,ERIC MERTON,Q4978269,BRUCE SETON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE CURSE OF THE WRAYDONS,32
81824,ERIC MERTON,Q42382865,NESTOR FERIA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],EN EL VIEJO BUENOS AIRES,33
81824,ERIC MERTON,Q288501,ERICO VERISSIMO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE ADVENTURES OF THE RED AIRPLANE,41
81824,ERIC MERTON,Q327963,RICHARD VERNON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE PINK PANTHER STRIKES AGAIN,40
81824,ERIC MERTON,Q3046375,EARL FELTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE BEAUTIFUL BLONDE FROM BASHFUL BEND,38
81824,ERIC MERTON,Q6139622,JAMES MELTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SING ME A LOVE SONG,30
81824,ERIC MERTON,Q831143,MARTON KELETI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE CORPORAL AND OTHERS,33
81824,ERIC MERTON,Q5387613,ERIC TAYLOR,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],NORTH OF THE GREAT DIVIDE,42
81824,ERIC MERTON,Q5386472,ERIC FENBY,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],JAMAICA INN,14
81824,ERIC MERTON,Q53006,PIETRO GERMI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],"THE BIRDS, THE BEES AND THE ITALIANS",42
81824,ERIC MERTON,Q94810193,ERNST MARTIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HOMELAND,12
81824,ERIC MERTON,Q451206,MARINA BERTI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],WHAT HAVE THEY DONE TO YOUR DAUGHTERS?,38
81824,ERIC MERTON,Q3847428,MARIA MELATO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],IN HIGH PLACES,23
81824,ERIC MERTON,Q12300872,ALBERT MERTZ,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE HERITAGE,26
81824,ERIC MERTON,Q5387056,ERIC MASON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THEY MET IN THE DARK,34
81824,ERIC MERTON,Q4974744,EBBA RICHERT,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q10437072,0
81824,ERIC MERTON,Q13883075,MARIA MARTIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THEY ALWAYS RETURN AT DAWN,36
81824,ERIC MERTON,Q1903438,MARTIN BERLINER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ABSCHIED VON DEN WOLKEN,27
81824,ERIC MERTON,Q4171765,MARION DEWAR,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ZIEGFELD FOLLIES,18
81824,ERIC MERTON,Q5388806,ERIK ROSEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],IT RAINS ON OUR LOVE,28
81824,ERIC MERTON,Q23615571,HENRI LETONDAL,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE RAZOR'S EDGE,33
81824,ERIC MERTON,Q5338026,EDIE MARTIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE LAVENDER HILL MOB,27
81824,ERIC MERTON,Q5387293,ERIC PORTER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A SON IS BORN,25
81824,ERIC MERTON,Q3363775,MORTEN KORCH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE RED HORSES,27
81824,ERIC MERTON,Q3092525,FELIX MARTEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DIAMONDS ARE A MAN'S BEST FRIEND,40
81824,ERIC MERTON,Q5714895,RUNE ERICSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],"RONIA, THE ROBBER'S DAUGHTER",36
